Date,SEC,HYU,NAVER
2011-04-03,18800,203500,64193
2011-04-04,18900,201500,64350
2011-04-05,18900,204000,64507
2011-04-06,18460,210500,64507
2011-04-07,18180,205500,63252
2011-04-08,17960,205000,61996
2011-04-09,17960,205000,61996
2011-04-10,17960,205000,61996
2011-04-11,17880,206000,64036
2011-04-12,17640,200000,61368
2011-04-13,18020,212500,61525
2011-04-14,18000,222000,62153
2011-04-15,17760,221500,62781
2011-04-16,17760,221500,62781
2011-04-17,17760,221500,62781
2011-04-18,17340,226000,60583
2011-04-19,17500,225500,62310
2011-04-20,18320,232500,64036
2011-04-21,18560,235500,65135
2011-04-22,18080,233000,64978
2011-04-23,18080,233000,64978
2011-04-24,18080,233000,64978
2011-04-25,17780,246000,63722
2011-04-26,17940,245000,65449
2011-04-27,18480,233500,67175
2011-04-28,18000,250500,65920
2011-04-29,17860,246500,66704
2011-04-30,17860,246500,66704
2011-05-01,17860,246500,66704
2011-05-02,18640,254500,68588
2011-05-03,18760,242000,68117
2011-05-04,18300,240000,66704
2011-05-05,18300,240000,66704
2011-05-06,17980,238500,66077
2011-05-07,17980,238500,66077
2011-05-08,17980,238500,66077
2011-05-09,17820,238500,65292
2011-05-10,17820,238500,65292
2011-05-11,17840,247500,65763
2011-05-12,17700,236000,62781
2011-05-13,18320,229500,62781
2011-05-14,18320,229500,62781
2011-05-15,18320,229500,62781
2011-05-16,18020,224000,62938
2011-05-17,17800,226000,63252
2011-05-18,17860,238500,60426
2011-05-19,17600,233500,61211
2011-05-20,17640,241000,60897
2011-05-21,17640,241000,60897
2011-05-22,17640,241000,60897
2011-05-23,17460,228000,59328
2011-05-24,17300,230500,59171
2011-05-25,17120,230500,60269
2011-05-26,17580,243500,59328
2011-05-27,17820,248500,59328
2011-05-28,17820,248500,59328
2011-05-29,17820,248500,59328
2011-05-30,17680,249000,59171
2011-05-31,18040,252500,60269
2011-06-01,18220,243500,60740
2011-06-02,17660,242000,59642
2011-06-03,17700,241500,60113
2011-06-04,17700,241500,60113
2011-06-05,17700,241500,60113
2011-06-06,17700,241500,60113
2011-06-07,17740,238000,60426
2011-06-08,17540,231500,61211
2011-06-09,17300,226500,59485
2011-06-10,17020,223000,59014
2011-06-11,17020,223000,59014
2011-06-12,17020,223000,59014
2011-06-13,17060,226500,62781
2011-06-14,17260,236000,62781
2011-06-15,17300,234500,61525
2011-06-16,16960,228000,60583
2011-06-17,16380,225500,60583
2011-06-18,16380,225500,60583
2011-06-19,16380,225500,60583
2011-06-20,16000,227500,61996
2011-06-21,16280,230000,61996
2011-06-22,16520,231500,62624
2011-06-23,16620,224000,60113
2011-06-24,17040,232000,60583
2011-06-25,17040,232000,60583
2011-06-26,17040,232000,60583
2011-06-27,16700,234000,59642
2011-06-28,16640,230000,60113
2011-06-29,16660,238000,60269
2011-06-30,16520,237000,59328
2011-07-01,17100,240500,59328
2011-07-02,17100,240500,59328
2011-07-03,17100,240500,59328
2011-07-04,17560,244500,58857
2011-07-05,17980,244000,59485
2011-07-06,17960,246500,59328
2011-07-07,17600,248000,59956
2011-07-08,17700,247500,60269
2011-07-09,17700,247500,60269
2011-07-10,17700,247500,60269
2011-07-11,17300,239000,59799
2011-07-12,17000,231500,58229
2011-07-13,16860,238000,59014
2011-07-14,16620,238500,57915
2011-07-15,16640,240000,58857
2011-07-16,16640,240000,58857
2011-07-17,16640,240000,58857
2011-07-18,16260,236500,61368
2011-07-19,16440,233000,63409
2011-07-20,17020,235500,63095
2011-07-21,16840,233000,65920
2011-07-22,17000,236500,65763
2011-07-23,17000,236500,65763
2011-07-24,17000,236500,65763
2011-07-25,16940,234000,64821
2011-07-26,17000,238000,66704
2011-07-27,16900,243000,68431
2011-07-28,16740,239000,67175
2011-07-29,16880,235000,65920
2011-07-30,16880,235000,65920
2011-07-31,16880,235000,65920
2011-08-01,17400,235500,66861
2011-08-02,17040,224000,67018
2011-08-03,16660,214000,66391
2011-08-04,16420,209000,65135
2011-08-05,15780,204000,62624
2011-08-06,15780,204000,62624
2011-08-07,15780,204000,62624
2011-08-08,15200,199500,59642
2011-08-09,14480,194000,54933
2011-08-10,14400,192500,60113
2011-08-11,14160,197000,59485
2011-08-12,14140,188000,55718
2011-08-13,14140,188000,55718
2011-08-14,14140,188000,55718
2011-08-15,14140,188000,55718
2011-08-16,15000,203000,55718
2011-08-17,15040,200500,55875
2011-08-18,14180,191500,59799
2011-08-19,13600,170500,58543
2011-08-20,13600,170500,58543
2011-08-21,13600,170500,58543
2011-08-22,13820,161500,59956
2011-08-23,14460,178000,60897
2011-08-24,14160,180500,62781
2011-08-25,14500,188500,62153
2011-08-26,14520,192500,60583
2011-08-27,14520,192500,60583
2011-08-28,14520,192500,60583
2011-08-29,14660,195000,59642
2011-08-30,14840,196500,61211
2011-08-31,14880,203000,65292
2011-09-01,15420,202500,65135
2011-09-02,15380,200000,66077
2011-09-03,15380,200000,66077
2011-09-04,15380,200000,66077
2011-09-05,14620,189500,66704
2011-09-06,14540,192000,67803
2011-09-07,15460,199000,68902
2011-09-08,15960,201500,66548
2011-09-09,15600,197500,65135
2011-09-10,15600,197500,65135
2011-09-11,15600,197500,65135
2011-09-12,15600,197500,65135
2011-09-13,15600,197500,65135
2011-09-14,15060,191000,63879
2011-09-15,15420,198500,64350
2011-09-16,15960,208000,64664
2011-09-17,15960,208000,64664
2011-09-18,15960,208000,64664
2011-09-19,16160,206000,66077
2011-09-20,16220,208500,68274
2011-09-21,16260,211000,70628
2011-09-22,15800,207000,70628
2011-09-23,15160,197000,67646
2011-09-24,15160,197000,67646
