Calendar Basis,,,
Portfolio, ,Default,
Item, , ,
Frequency,일간,KRW,
Non-Trading Day,Previous,Asc,
Include Weekend,ALL, ,
Term,20100101,Current(20251128),
Symbol,A005930,A005380,A035420
Symbol Name,삼성전자,현대차,NAVER
Kind,SSC,SSC,SSC
Item,S410000700,S410000700,S410000700
Item Name,수정주가(원),수정주가(원),수정주가(원)
Frequency,DAILY,DAILY,DAILY
2019-08-20,"44,450","126,500","145,500"
2019-08-21,"44,500","125,500","147,500"
2019-08-22,"44,050","124,000","148,000"
2019-08-23,"43,950","126,000","148,500"
2019-08-24,"43,950","126,000","148,500"
2019-08-25,"43,950","126,000","148,500"
2019-08-26,"43,600","124,500","143,500"
2019-08-27,"44,050","125,000","146,500"
2019-08-28,"44,150","127,500","146,500"
2019-08-29,"43,400","126,500","145,000"
2019-08-30,"44,000","128,500","146,500"
2019-08-31,"44,000","128,500","146,500"
2019-09-01,"44,000","128,500","146,500"
2019-09-02,"43,800","131,000","150,000"
2019-09-03,"43,250","128,500","150,500"
2019-09-04,"44,100","128,500","151,000"
2019-09-05,"45,700","128,000","147,000"
2019-09-06,"46,300","127,500","149,500"
2019-09-07,"46,300","127,500","149,500"
2019-09-08,"46,300","127,500","149,500"
2019-09-09,"46,900","127,000","153,000"
2019-09-10,"47,000","128,000","150,500"
2019-09-11,"47,150","129,000","153,500"
2019-09-12,"47,150","129,000","153,500"
2019-09-13,"47,150","129,000","153,500"
2019-09-14,"47,150","129,000","153,500"
2019-09-15,"47,150","129,000","153,500"
2019-09-16,"47,100","128,000","154,500"
2019-09-17,"46,900","126,000","155,000"
2019-09-18,"47,700","127,500","159,000"
2019-09-19,"49,150","129,000","157,500"
2019-09-20,"49,200","129,500","157,000"
2019-09-21,"49,200","129,500","157,000"
2019-09-22,"49,200","129,500","157,000"
2019-09-23,"49,300","133,000","157,000"
2019-09-24,"49,500","134,000","158,000"
2019-09-25,"48,900","134,500","158,000"
2019-09-26,"49,200","133,000","158,000"
2019-09-27,"48,400","133,500","156,000"
2019-09-28,"48,400","133,500","156,000"
2019-09-29,"48,400","133,500","156,000"
2019-09-30,"49,050","134,000","157,000"
2019-10-01,"48,850","132,500","160,000"
2019-10-02,"47,600","128,500","157,000"
